> GMT_XY
256.222 -85.2042
256.228 -85.1372
256.218 -85.093
256.191 -85.0717
256.157 -85.0729
255.982 -84.7229
256.886 -82.7521
256.912 -82.74
256.928 -82.7061
256.97 -82.6822
257.01 -82.614
257.026 -82.58
257.076 -82.5447
257.084 -82.5222
257.101 -82.5215
257.117 -82.4875
257.142 -82.4755
257.167 -82.4523
257.191 -82.418
257.217 -82.4059
257.241 -82.3828
257.249 -82.3491
257.256 -82.3154
257.324 -82.3129
257.407 -82.2208
257.406 -82.1874
257.395 -82.1432
257.394 -82.1099
257.419 -82.0867
257.469 -82.0626
257.477 -82.04
257.466 -81.9736
257.527 -81.9937
257.587 -81.9915
257.623 -82.0347
257.649 -82.0449
257.683 -82.0325
257.716 -81.9979
257.706 -81.976
257.731 -81.9528
257.757 -81.963
257.804 -82.0615
257.882 -82.1032
257.953 -82.1674
257.997 -82.1881
258.056 -82.1859
258.108 -82.1951
258.106 -82.1395
258.085 -82.0289
258.067 -81.9962
258.04 -81.9749
258.038 -81.9081
258.028 -81.864
258.05 -81.7852
258.049 -81.7407
258.081 -81.6727
258.087 -81.6279
258.094 -81.5831
258.059 -81.551
258.016 -81.5414
258.015 -81.5192
258.065 -81.4728
258.072 -81.428
258.049 -81.2841
258.037 -81.1731
258.015 -81.0514
257.987 -80.9968
257.995 -80.9631
258.011 -80.9402
258.01 -80.9068
257.939 -80.8426
257.962 -80.775
257.988 -80.774
258.015 -80.8064
258.1 -80.8144
258.15 -80.7681
258.199 -80.6994
258.288 -80.5625
258.295 -80.5177
258.311 -80.4726
258.257 -80.4078
258.221 -80.3645
258.166 -80.2774
258.259 -80.2295
258.294 -80.2505
258.328 -80.2492
258.361 -80.2257
258.374 -80.1028
258.353 -79.9922
258.35 -79.9254
258.339 -79.859
258.345 -79.7697
258.309 -79.7376
258.291 -79.6938
258.262 -79.628
258.251 -79.5504
258.248 -79.4726
258.289 -79.4043
258.346 -79.3465
258.396 -79.289
258.463 -79.2642
258.497 -79.263
258.556 -79.2163
258.633 -79.2246
258.699 -79.1665
258.791 -79.0963
258.825 -79.0839
258.849 -79.0385
258.865 -79.0156
258.889 -78.959
258.92 -78.8688
258.928 -78.8685
258.944 -78.8234
258.975 -78.7554
258.99 -78.688
258.988 -78.6324
259.02 -78.5644
259.06 -78.485
259.11 -78.4497
259.135 -78.4488
259.137 -78.5044
259.147 -78.5263
259.141 -78.6156
259.16 -78.6484
259.177 -78.6589
259.201 -78.6023
259.252 -78.6004
259.277 -78.5772
259.295 -78.5988
259.313 -78.6316
259.356 -78.63
259.402 -78.7174
259.43 -78.7721
259.447 -78.7826
259.48 -78.7479
259.488 -78.7143
259.523 -78.7352
259.546 -78.6676
259.597 -78.6768
259.63 -78.6422
259.621 -78.6091
259.663 -78.5853
259.669 -78.5182
259.71 -78.4833
259.727 -78.4827
259.787 -78.4693
259.828 -78.4233
259.904 -78.4093
259.928 -78.3528
259.926 -78.3083
259.883 -78.2987
259.882 -78.2765
259.908 -78.2644
259.967 -78.24
259.974 -78.2174
260.033 -78.1929
260.05 -78.1923
260.067 -78.1806
260.066 -78.1583
260.083 -78.1354
260.127 -78.1895
260.153 -78.1885
260.168 -78.1323
260.186 -78.1428
260.221 -78.186
260.299 -78.1943
260.34 -78.1593
260.356 -78.1142
260.408 -78.1346
260.476 -78.132
260.601 -78.0383
260.597 -77.9271
260.613 -77.9042
260.682 -77.9128
260.715 -77.8671
260.749 -77.8769
260.884 -77.8051
260.984 -77.7457
261.001 -77.7451
261.026 -77.7219
261.017 -77.6999
261.09 -77.597
261.129 -77.5064
261.165 -77.5385
261.208 -77.5481
261.215 -77.5144
261.257 -77.4905
261.322 -77.399
261.363 -77.3419
261.405 -77.3291
261.472 -77.2821
261.512 -77.2027
261.517 -77.1134
261.611 -77.1099
261.644 -77.0641
261.676 -77.0073
261.681 -76.9291
261.714 -76.8944
261.72 -76.8163
261.753 -76.7928
261.761 -76.7702
261.766 -76.6809
261.775 -76.6695
261.828 -76.5004
261.842 -76.4108
261.875 -76.3762
261.856 -76.3323
261.838 -76.2996
261.819 -76.2446
261.74 -76.203
261.737 -76.1252
261.772 -76.1461
261.823 -76.122
261.858 -76.143
261.856 -76.1096
261.863 -76.0648
261.879 -76.0197
261.86 -75.9647
261.867 -75.931
261.839 -75.8764
261.837 -75.8208
261.811 -75.7995
261.817 -75.7324
261.842 -75.7315
261.859 -75.7197
261.844 -75.5421
261.87 -75.5523
261.887 -75.5516
261.893 -75.4846
261.892 -75.4512
261.909 -75.4506
261.934 -75.4274
261.932 -75.3718
261.922 -75.3387
261.904 -75.3171
261.869 -75.285
261.842 -75.2526
261.84 -75.2081
261.856 -75.1853
261.89 -75.1729
261.888 -75.1284
261.912 -75.0718
261.944 -75.0149
261.97 -75.014
262.002 -74.9682
261.991 -74.8907
262.016 -74.8675
262.023 -74.8338
262.039 -74.8109
262.029 -74.7668
262.053 -74.7325
262.059 -74.6432
262.066 -74.6206
262.057 -74.5987
262.112 -74.4741
262.106 -74.3184
262.132 -74.3175
262.13 -74.273
262.112 -74.2291
262.127 -74.1951
262.133 -74.117
262.165 -74.049
262.171 -73.993
262.125 -73.8946
262.131 -73.8386
262.181 -73.8034
262.196 -73.7471
262.248 -73.7563
262.262 -73.6667
262.261 -73.6445
262.286 -73.6213
262.284 -73.5879
262.282 -73.5323
262.291 -73.5209
262.316 -73.5199
262.342 -73.5301
262.358 -73.5072
262.366 -73.4846
262.339 -73.4522
262.314 -73.4643
262.296 -73.4427
262.268 -73.3881
262.217 -73.3788
262.156 -73.3477
262.155 -73.3366
262.198 -73.3461
262.241 -73.3334
262.257 -73.3105
262.317 -73.3083
262.324 -73.2635
262.314 -73.2304
262.32 -73.1634
262.302 -73.1307
262.259 -73.1323
262.224 -73.1224
262.215 -73.1116
262.223 -73.0891
262.239 -73.0662
262.245 -72.9769
262.225 -72.9219
262.19 -72.901
262.189 -72.8676
262.206 -72.8559
262.24 -72.8657
262.258 -72.8873
262.26 -72.9318
262.294 -72.9305
262.313 -72.9744
262.323 -73.0185
262.35 -73.0509
262.403 -73.1046
262.429 -73.1037
262.445 -73.0697
262.444 -73.0363
262.504 -73.0452
262.522 -73.0668
262.573 -73.076
262.564 -73.0652
262.623 -73.0296
262.656 -72.995
262.661 -72.9057
262.678 -72.905
262.684 -72.838
262.682 -72.7824
262.715 -72.7477
262.713 -72.7033
262.748 -72.702
262.761 -72.6124
262.812 -72.5882
262.845 -72.5536
262.861 -72.5307
262.887 -72.5298
262.936 -72.4834
262.988 -72.4926
262.992 -72.381
262.995 -72.2361
263.028 -72.2015
263.034 -72.1345
263.033 -72.1011
263.015 -72.0684
263.022 -72.0347
263.102 -72.1208
263.101 -72.0874
263.083 -72.0547
263.132 -72.0083
263.191 -71.9838
263.241 -71.9485
263.258 -71.9479
263.282 -71.8913
263.401 -71.8757
263.45 -71.8182
263.493 -71.8277
263.524 -71.7264
263.549 -71.7254
263.599 -71.679
263.605 -71.6008
263.637 -71.5551
263.679 -71.5423
263.714 -71.5411
263.723 -71.5519
263.757 -71.5506
263.753 -71.4505
263.776 -71.3828
263.827 -71.3698
263.87 -71.3793
263.895 -71.3561
263.964 -71.3869
264.009 -71.4409
264.025 -71.418
264.05 -71.3837
264.082 -71.3268
264.122 -71.2473
264.129 -71.2137
264.162 -71.1901
264.151 -71.1126
264.24 -70.9868
264.272 -70.9187
264.295 -70.8622
264.411 -70.7465
264.504 -70.7207
264.57 -70.6736
264.586 -70.6396
264.601 -70.5834
264.695 -70.5799
264.778 -70.5099
264.879 -70.4727
264.905 -70.4606
264.93 -70.4485
264.936 -70.3926
264.97 -70.3691
265.004 -70.3678
265.043 -70.2883
265.067 -70.2206
265.132 -70.1402
265.155 -70.0725
265.178 -69.9937
265.227 -69.9473
265.252 -69.9352
265.242 -69.8799
265.206 -69.8256
265.142 -69.7278
265.107 -69.6957
265.072 -69.697
264.991 -69.5887
264.945 -69.4902
264.899 -69.4029
264.833 -69.2494
264.788 -69.1732
264.698 -69.0652
264.645 -69.0227
264.617 -68.9458
264.582 -68.9359
264.546 -68.8816
264.484 -68.8394
264.448 -68.774
264.403 -68.72
264.304 -68.5789
264.267 -68.5135
264.223 -68.4817
264.238 -68.4366
264.118 -68.185
264.092 -68.186
264.072 -68.1088
264.044 -68.0319
264.06 -68.009
264.016 -67.9773
264.004 -67.8886
263.984 -67.8225
264 -67.7885
263.99 -67.7444
263.979 -67.6891
264.003 -67.6436
263.977 -67.6224
263.975 -67.5668
263.999 -67.5213
264.051 -67.5416
264.067 -67.5188
264.082 -67.4736
264.099 -67.4619
264.098 -67.4285
264.124 -67.4275
264.122 -67.3942
264.139 -67.3824
264.095 -67.3507
264.195 -67.2801
264.211 -67.2572
264.314 -67.2645
264.357 -67.2629
264.405 -67.1831
264.454 -67.1256
264.444 -67.0926
264.51 -67.0233
264.588 -67.0426
264.7 -67.0607
264.723 -67.0041
264.758 -67.0251
264.779 -66.9018
264.804 -66.8897
264.803 -66.8563
264.829 -66.8554
264.826 -66.7998
264.809 -66.7782
264.774 -66.7683
264.756 -66.7356
264.713 -66.7261
264.643 -66.6953
264.582 -66.4304
264.547 -66.4205
264.506 -66.4555
264.479 -66.4342
264.394 -66.4263
264.291 -66.419
264.214 -66.4108
264.181 -66.4454
264.145 -66.4134
264.076 -66.3937
264.051 -66.3946
264.031 -66.3397
264.057 -66.3276
264.055 -66.2943
264.038 -66.2838
264.053 -66.2386
264.05 -66.1608
264.056 -66.0827
264.02 -66.0506
263.968 -66.008
263.931 -65.9537
263.93 -65.9092
263.865 -65.7891
263.76 -65.7151
